Juego,Balda,Fecha adquisición,Prestado a,Fecha préstamo,Estado,Anotaciones,Comprobado,Veces sacado 2014,Veces sacado 2015,Veces sacado 2016,Veces sacado 2017,Veces sacado 2018,Veces sacado 2019,Veces sacado 2020,Veces sacado 2021,Veces sacado 2023,Veces sacado 2024,Veces sacado 2025,Veces sacado TOTAL,,,,,,,,,,,,,,
¡A todo tren!,COL 0,,,,,,,,,,,,1,2,2,1,,1,7,,,,,,,,,,,,,,
¡A todo tren!,Ventas,26 MAR 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
¡Atención a los monstruos! Junior,COL 6,,,,,,,,,,,,,,1,1,,,2,,,,,,,,,,,,,,
¡Atrápalo!,Y3,,,,,,,,,,,,,1,,2,,,3,,,,,,,,,,,,,,
¡Aventureros al tren!,J3,,,,,,,,6,,2,3,6,,1,,3,2,23,,,,,,,,,,,,,,
¡Aventureros al tren! África,J3,,,,,,,,,,2,,,,1,,,,3,,,,,,,,,,,,,,
¡Aventureros al tren! Europa,J3,15 SEP 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
¡Aventureros al tren! El Primer Viaje,Y2,,,,,,,,,,1,2,1,,,1,3,3,11,,,,,,,,,,,,,,
¡Aventureros al tren! La vuelta al mundo,J3,,,,,,,,,,4,,,,1,,1,,6,,,,,,,,,,,,,,
¡Aventureros al tren! Marklin,J3,,,,,,,1,1,2,1,,4,,,,,,9,,,,,,,,,,,,,,
¡Cobardes!,COL 4,,,,,,,,,,4,,1,,,,,,5,,,,,,,,,,,,,,
¡Cocoricó Cocorocó!,Y2,,,,,ok,07/10/2019,,,1,2,3,3,1,2,,1,,13,,,,,,,,,,,,,,
¡De qué vas!,COL 1,7 SEP 2024,,,,,,,,,,,,,,,2,4,6,,,,,,,,,,,,,,
¡Descifrado!,Y3,,,,,,,,,,,,,,1,2,,,3,,,,,,,,,,,,,,
¡Escapa! La maldición de la esfinge,COL 5,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
¡Escapa! La prueba final,COL 5,,,,,,,,,,,,,1,1,1,,1,4,,,,,,,,,,,,,,
¡Galletas!,Z2,,,,,,,,,1,2,2,2,,,1,,,8,,,,,,,,,,,,,,
¡Gíralo!,COL 7,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
¡Gol!,Ventas,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,
¡Luchador! El juego de dados de lucha libre a.,Ventas,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
¡Manda huevos!,P4,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
¡MIA!,COL 0,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,
¡No Gracias!,COL 0,,,,,,,,,,,1,5,1,1,1,3,,12,,,,,,,,,,,,,,
¡Peca tú!,COL 0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
¡Pijamas a la cama!,Y5,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
"¡Sí, señor Oscuro!",*,,,,,,,,1,,,,,,,,1,,2,,,,,,,,,,,,,,
¡Vaya tomate!,COL 7,,,,,,,,,,4,,,1,,,,,5,,,,,,,,,,,,,,
¡Viva el Rey!,H6,,,,,ok,14 ene,,,,2,3,4,3,2,,1,,15,,,,,,,,,,,,,,
¿A quién nos comemos?,E6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
"¿Alcachofas? ¡No, gracias!",P1,,,,,,,,,,,,,,,1,1,1,3,,,,,,,,,,,,,,
¿Alguien ha probado este juego?,*,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,
¿En qué estabas pensando?,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
¿Qué llevo en la maleta? Extreme,COL 5,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
1 2 3 Bitmax,COL 6,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
"1, 2, 3 Ahora me ves",COL 6,,,,,,,,,,2,,1,,,,,,3,,,,,,,,,,,,,,
10' to Kill,H6,,,,,,,,,,,,2,,,,1,,3,,,,,,,,,,,,,,
10 Dwarves,Novedades,3 AGO 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
10 Latidos,COL 5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
10 Negritos,D1,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,
10 Nights,J6,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,
13 Días: La crisis de los misiles en Cuba,C5,,,,,,,,,,4,,1,1,,,,,6,,,,,,,,,,,,,,
15 Días,*,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,
1775 La Guerra de la Independencia,C6,,,,,ok,12-agosto,1,2,1,,,,,,,,,4,,,,,,,,,,,,,,
1902 Méliès,COL 1,26 MAR 2025,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
1906 San Francisco,COL 1,,,,,,,,,,,,2,2,1,,,,5,,,,,,,,,,,,,,
1911 Amundsen vs Scott,COL 1,,,,,,,,,,3,,1,,,1,1,,6,,,,,,,,,,,,,,
1920 Wall Street,COL 1,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,
1923 Cotton Club,COL 1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
1936: Guerra Civil,C5,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
1987 Channel Tunnel,COL 1,26 MAR 2025,,,,ok,29/06/2025,,,,,,,,,,,3,3,,,,,,,,,,,,,,
20th Century,F4,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
21 Muntinies,C1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
24h,E6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2GM Pacific,C6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2GM Tactics,C6,,,,,ok,,,,1,2,,1,,,,,,4,,,,,,,,,,,,,,
3 Capítulos,COL 2,2 ENE 2025,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,
3 Little Pigs,Novedades,8 JUN 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
30 Carats,Ventas,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
3x4=¡zas!,Y3,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,
4 en letras,Ventas,,,,,,,,,,,,2,1,,,,,3,,,,,,,,,,,,,,
"50 50: 50% cultura, 50% suerte",Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
6 ninmt! ¡Toma 6!,COL 0,,,,,ok,23-julio,,,1,2,2,2,1,,,1,,9,,,,,,,,,,,,,,
7 Pecados,COL 1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
7 Wonders,H4,,,,,falta una moneda de 3,29-agosto,,3,1,,,,1,,,,,5,,,,,,,,,,,,,,
7 Wonders: Manneken Pis,,,,,,ok,4 junio,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Wonders Duel,I5,,,,,ok,18-enero,,,3,,2,2,5,3,2,2,2,21,,,,,,,,,,,,,,
8 Bitbox,*,,,,,,,,,,,,3,,,1,,,4,,,,,,,,,,,,,,
A la chita callando (mucks mäuschenstill),Y4,,,,,,,,,3,1,,1,,,,1,,6,,,,,,,,,,,,,,
À la Cuisine,COL 6,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
A través del desierto,E6,,,,,,,,2,1,1,,,1,,,,1,6,,,,,,,,,,,,,,
Abalone,A1,,,,,,,,3,,,,,,1,,,,4,,,,,,,,,,,,,,
Abejitas Zum Zum,COL 7,,,,,,,,,,,,5,3,2,,,,10,,,,,,,,,,,,,,
Abluxxen,COL 3,,,,,,,,,,,,3,,1,,2,,6,,,,,,,,,,,,,,
Abracada... ¿Qué?,Y4,,,,,ok,09-enero,,1,2,,,,,,,,1,4,,,,,,,,,,,,,,
Academia Ninja,COL 0,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
Adaptoid 24,COL 1,DIC 2023,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
"Adios, Amigos!",M4,,,,,,,,1,,2,2,1,,,,,,6,,,,,,,,,,,,,,
Adrenalina,B2,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
Adventure Games: Gran Hotel Abaddon,COL 3,,,,,,,,,,,,,,,,2,2,4,,,,,,,,,,,,,,
Adventure Games: La mazmorra,COL 3,,,,,,,,,,,,,3,2,,1,2,8,,,,,,,,,,,,,,
Aeon's End: La Guerra Eterna,C3,26 ABR 2025,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Aetherya,D2,23 NOV 2025,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,
Africana,J1,,,,,,,,1,,,,3,,,,,1,5,,,,,,,,,,,,,,
After Us,H5,FEB 2024,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,
Age of Empire III: La era de los descubrimientos,K1,,,,,caja tocada,,,,,,,3,,,,,,3,,,,,,,,,,,,,,
Age of War,COL 5,,,,,,,,3,2,,1,,,2,,,,8,,,,,,,,,,,,,,
Agent Avenue,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Agent Hunter,Ventas,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Agra,G3,,,,,,,,,,,,,1,,1,,,2,,,,,,,,,,,,,,
Agra: Ambabari Elephant promo card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrícola,L4,,,,,falta una carta,,,2,3,1,,3,,1,,,,10,,,,,,,,,,,,,,
Agrícola: A través de las estaciones,,,,,,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricola: Nueva Edición,E3,,,,,,,,,,1,2,1,,2,,1,1,8,,,,,,,,,,,,,,
Agropolis,P1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Airship City,C4,MARZO 2024,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Ajo y agua,*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Akropolis,Novedades,26 ABR 2025,ericplacton,3 oct,n,ok,31/08/2025,,,,,,,,,,,5,5,,,,,,,,,,,,,,
Aladino y la cueva de las maravillas,Z5,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Alakatrus,COL 6,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Aldabas: Puertas de Cartagena,J6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Alex Colt: Cadete Espacial,*,,,,,,,,,,,4,2,1,,,,,7,,,,,,,,,,,,,,
Alhambra,I3,,,,,,,,3,1,1,5,9,1,,,,2,22,,,,,,,,,,,,,,
Alma Mater,G2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Aloha Pioha,COL 1,,,,,,,,,,2,,,,,,,1,3,,,,,,,,,,,,,,
Alquimistas,H3,,,,,,,,1,1,1,,,,,,,,3,,,,,,,,,,,,,,
Alta Tensión,L3,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Alta Tensión: China Corea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alta Tensión: Nuevas centrales eléctricas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altiplano,E4,,,,,falta manual (he impreso 1),,,,,,5,,1,1,,1,,8,,,,,,,,,,,,,,
Amazonia,I5,DIC 2023,,,,,,,,,,,,,,1,1,2,4,,,,,,,,,,,,,,
Amerigo,L1,,,,,,,,,,1,1,,,1,,,,3,,,,,,,,,,,,,,
Amun Re,C2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Anachrony,K4,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
Anachrony: Pack Mejoras módulo día del juicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancestree,C0,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Andromeda's Edge,L6,26 ABR 2025,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Animal sobre Animal,Y3,,,,,,,,,,,8,6,2,4,3,,1,24,,,,,,,,,,,,,,
Animales a bordo,Y6,,,,,,,,,1,1,,,2,1,,1,,6,,,,,,,,,,,,,,
Animalitos escondidos,Y3,,,,,,,,,,,,2,1,,2,,,5,,,,,,,,,,,,,,
Animazombis,COL 6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Anno 1800,F5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Ant-tomic,Z5,,,,,,,,,,,,,,1,,1,,2,,,,,,,,,,,,,,
Antarctica,*,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
AntaYagi,COL 6,ENE 2024,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Antique,COL 1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
AquaSphere,F3,,,,,,,,,,2,1,4,1,,,,,8,,,,,,,,,,,,,,
Arcadia Quest,A5,,,,,,,,8,2,3,1,1,1,,,,,16,,,,,,,,,,,,,,
Arcanya: Magic Academy,COL 1,,,,,ok,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
Archaeology The New Expedition,N4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Ardillas del bosque,Z5,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Ardillas voladoras,Y6,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Arena: Roma 2,I6,,,,,,,,4,,,1,1,,,,,,6,,,,,,,,,,,,,,
Ark Nova,K4,,,,,,,,,,,,,,,4,1,4,9,,,,,,,,,,,,,,
Arka V,COL 2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Arkham Horror 2ª Edición,B4,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Arkham Horror 3ª Edición,B4,,,,,,,,,,,,1,2,,3,5,1,12,,,,,,,,,,,,,,
Arkham Horror 3ª Edición: Noche Cerrada,,5 AGO 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkham Horror 3ª Edición: Secretos de la Orden,,23 MAR 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkham Noir Caso #1,COL 3,,,,,,,,,,,,,4,,1,,,5,,,,,,,,,,,,,,
Arkham Noir Caso #2,COL 3,,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,
Arquitectos del Reino del Oeste,J2,,,,,,,,,,,,,2,2,1,,1,6,,,,,,,,,,,,,,
Arquitectos del Reino del Oeste: Tableros Extra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arre Unicornio,D5,DIC 2023,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Arriba y Abajo,B5,,,,,,,,,,,4,2,1,,,,,7,,,,,,,,,,,,,,
Ars Universalis,*,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,
Asante,H6,,,,,,,1,4,1,,,1,2,2,,,,11,,,,,,,,,,,,,,
Assyria,E1,,,,,,,,1,,1,,,,,,,,2,,,,,,,,,,,,,,
Asteroyds,H1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Augustus,C2,,,,,,,,,,2,,1,1,1,,1,,6,,,,,,,,,,,,,,
AuZtralia,F5,,,,,,,,,,,,5,1,,,,1,7,,,,,,,,,,,,,,
Aventura Z: Vol 1 Lovecraft,I6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
AXIO,G1,,,,,,,,,,,1,,,1,,,,2,,,,,,,,,,,,,,
Azul,J4,,,,,,,,,,,7,10,4,2,,,1,24,,,,,,,,,,,,,,
Azul: Special Factories Promo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azul: Pabellón de Verano,J4,,,,,,,,,,,,,,,3,2,2,7,,,,,,,,,,,,,,
Azul: Pabellón de Verano - Pabellón Acristalado,,21 SEP 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azul: Vitrales de Sintra,J4,,,,,,9 feb,,,,,,,6,,2,,,8,,,,,,,,,,,,,,
Baby Race,COL 6,,,,,,,,,,,,,,,2,1,,3,,,,,,,,,,,,,,
Babydino,COL 6,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
Backgammon,A1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Balconia,C4,15 may 25,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Bali,M5,,,,,,,,,,,,1,,1,,,,2,,,,,,,,,,,,,,
Bandas Arco Iris,Y3,,,,,,,,,,,,,,1,1,,,2,,,,,,,,,,,,,,
Bang!,D6,,,,,ok,19-febrero,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Bang! El Duelo,*,,,,,ok,21-julio,,,3,,,,,,,,1,4,,,,,,,,,,,,,,
Bang! El juego de dados,D6,,,,,,,,1,1,,,,1,,,,2,5,,,,,,,,,,,,,,
Banjooli Xeet,H6,,,,,,,1,1,,,1,3,,1,,,,7,,,,,,,,,,,,,,
Baobab,P2,,,,,,,,,,,1,8,2,,,2,,13,,,,,,,,,,,,,,
Bar Bestial,COL 0,,,,,,,,,,2,4,2,1,1,,,,10,,,,,,,,,,,,,,
Barcelona: La rosa de fuego,*,,,,,,,,,,2,,,,,,1,,3,,,,,,,,,,,,,,
Barrio,COL 2,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,
Batalla de Genios Junior,Z3,,,,,,,,,,,,,,1,1,,1,3,,,,,,,,,,,,,,
Batalla por el Olimpo,I5,,,,,,,,,2,1,1,,,,,,,4,,,,,,,,,,,,,,
Battle Line,C6,,,,,,,,2,1,1,,3,,,,,,7,,,,,,,,,,,,,,
Battlelore 2ª Edición,A4,,,,,ok,29-julio,,5,,,1,,,,,,,6,,,,,,,,,,,,,,
Battlestar Galactica,B4,,,,,ok,18-enero,,,,2,,1,,,,,,3,,,,,,,,,,,,,,
Battlestar Galactica: Pegasus,B4,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Bauhaus,H6,,,,,,,,3,1,,1,3,2,,,,,10,,,,,,,,,,,,,,
Baumeister,*,,,,,ok,,1,2,,,,,,,,,,3,,,,,,,,,,,,,,
Bed Bugs,Y2,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Bee War,Ventas,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Between Two Cities,J3,,,,,,,,,,,,1,1,,,,1,3,,,,,,,,,,,,,,
Bichos,COL 7,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
Bienvenidos a la mazmorra,COL 0,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,
Big Bang 13.7,J6,,,,,,,,,,,2,1,1,,,,,4,,,,,,,,,,,,,,
Big Bazar,Z2,,,,,,,,,,,1,,2,,2,,,5,,,,,,,,,,,,,,
Bim Bam Bum,Novedades,16 OCT 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Bitoku,F2,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
