Tabla,Columna,Tipo_de_Dato,Es_Clave
ejemplares,id,bigint,PRI
ejemplares,anotaciones,varchar,
ejemplares,balda,varchar,
ejemplares,codigo_local,varchar,UNI
ejemplares,estado,varchar,
ejemplares,fecha_adquisicion,date,
ejemplares,juego_referencia_id,bigint,MUL
ejemplares,en_venta,tinyint,
ejemplares,usuario_id,bigint,MUL
juegos_referencia,id,bigint,PRI
juegos_referencia,duracion_minutos,int,
juegos_referencia,id_bgg,bigint,UNI
juegos_referencia,max_jugadores,int,
juegos_referencia,min_jugadores,int,
juegos_referencia,puntuacion_bgg,double,
juegos_referencia,titulo,varchar,
juegos_referencia,url_imagen,varchar,
juegos_referencia,jugadores_recomendados,varchar,
juegos_referencia,categoria,text,
juegos_referencia,dureza,double,
juegos_referencia,ano_publicacion,int,
juegos_referencia,autor,varchar,
juegos_referencia,descripcion,text,
juegos_referencia,mecanicas,text,
prestamos,id,bigint,PRI
prestamos,activo,bit,
prestamos,anotaciones,varchar,
prestamos,fecha_devolucion,date,
prestamos,fecha_limite,date,
prestamos,fecha_prestamo,date,
prestamos,ejemplar_id,bigint,MUL
prestamos,usuario_id,bigint,MUL
usuarios,id,bigint,PRI
usuarios,password,varchar,
usuarios,rol,varchar,
usuarios,username,varchar,UNI
usuarios,email,varchar,UNI
usuarios,telefono,varchar,
usuarios,activo,bit,
usuarios,apellidos,varchar,
usuarios,apodo,varchar,
usuarios,fecha_alta,date,
usuarios,nombre,varchar,
usuarios,tiene_llave,bit,
usuarios,tipo_cuota,varchar,
